date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2012-08-31,1,10,train,43.6,590.3,825.0,707.6,-93.6,1.0
2012-08-31,5,1,train,43.6,471.6,199.4,335.5,242.8,1.0
2012-08-31,5,5,train,33.7,373.7,384.5,379.1,-9.6,1.0
2012-08-31,5,10,train,31.3,315.5,195.6,255.6,107.0,1.0
2012-08-31,10,1,train,27.0,287.7,109.2,198.4,225.1,1.0
2012-08-31,10,5,train,26.1,229.5,217.7,223.6,14.8,1.0
2012-08-31,10,10,train,28.7,192.3,113.3,152.8,99.7,1.0
2012-09-28,1,1,train,117.0,729.6,670.9,700.3,23.4,1.0
2012-09-28,1,5,train,51.4,609.3,1616.4,1112.8,-401.8,1.0
2012-09-28,1,10,train,39.0,566.0,895.4,730.7,-131.4,1.0
2012-09-28,5,1,train,40.7,460.3,164.4,312.4,264.0,1.0
2012-09-28,5,5,train,32.0,358.4,381.1,369.8,-20.3,1.0
2012-09-28,5,10,train,29.3,307.6,220.6,264.1,77.6,1.0
2012-09-28,10,1,train,25.1,293.0,118.9,206.0,219.6,1.0
2012-09-28,10,5,train,24.1,233.1,313.6,273.4,-101.5,1.0
2012-09-28,10,10,train,25.8,197.9,200.6,199.3,-3.3,1.0
2012-10-31,1,1,train,101.1,733.1,720.7,726.9,5.0,1.0
2012-10-31,1,5,train,48.7,623.0,1628.2,1125.6,-401.0,1.0
2012-10-31,1,10,train,37.3,580.2,806.4,693.3,-90.3,1.0
2012-10-31,5,1,train,38.3,460.4,206.7,333.6,226.3,1.0
2012-10-31,5,5,train,30.2,361.2,484.9,423.1,-110.3,1.0
2012-10-31,5,10,train,27.8,296.0,271.0,283.5,22.3,1.0
2012-10-31,10,1,train,23.7,286.1,153.7,219.9,167.1,1.0
2012-10-31,10,5,train,22.7,224.0,358.4,291.2,-169.5,1.0
2012-10-31,10,10,train,24.4,191.4,151.4,171.4,50.5,1.0
2012-11-30,1,1,train,122.1,730.4,619.6,675.0,44.2,1.0
2012-11-30,1,5,train,51.3,637.5,1807.3,1222.4,-466.7,1.0
2012-11-30,1,10,train,37.1,578.7,815.9,697.3,-94.6,1.0
2012-11-30,5,1,train,39.8,460.5,188.6,324.6,242.6,1.0
2012-11-30,5,5,train,30.3,373.7,509.2,441.4,-120.9,1.0
