date,expiry,tenor,split,mkt_bp,sigma_str_bp,vol_error_bp,forward_bias_bp,path_frac
2022-03-31,10,10,test,61.2,64.76433196694836,3.564331966948359,163.40899225271735,1.0
2022-03-31,10,5,test,55.1,45.846319327135205,-9.253680672864796,115.32662968027262,1.0
2022-03-31,5,10,test,55.7,39.05948008041682,-16.640519919583184,66.88993360412661,1.0
2022-03-31,1,5,test,82.4,99.95040811309131,17.550408113091308,-78.93343083968544,1.0
2022-03-31,5,1,test,105.0,30.926104270503796,-74.0738957294962,54.102671226137446,1.0
2022-03-31,1,10,test,62.5,45.83711950051563,-16.662880499484373,-26.904473515874614,1.0
2022-03-31,1,1,test,105.9,109.81877493866213,3.918774938662125,22.386368859909968,1.0
2022-03-31,5,5,test,69.4,19.235488276456365,-50.16451172354364,11.989871644426863,1.0
2022-04-29,10,10,test,41.60000000000001,56.862327699979154,15.262327699979146,143.42570602242697,1.0
2022-04-29,10,5,test,37.1,36.045197708421455,-1.0548022915785467,88.39899407438189,1.0
2022-04-29,10,1,test,36.1,44.3407769268816,8.240776926881601,111.58879486924916,1.0
2022-04-29,5,10,test,41.4,24.071569316922517,-17.32843068307748,32.83704730566196,1.0
2022-04-29,5,5,test,46.6,22.41482589872675,-24.18517410127325,-25.84822828059653,1.0
2022-04-29,1,10,test,52.7,66.65686747274104,13.956867472741038,-52.148110307174754,1.0
2022-04-29,1,5,test,62.7,118.76978439471333,56.069784394713324,-94.72924789704882,1.0
2022-04-29,1,1,test,72.2,49.02867169630104,-23.171328303698964,29.293076782688775,1.0
2022-04-29,5,1,test,59.0,15.787515351970763,-43.21248464802924,11.325867461872985,1.0
2022-05-31,10,1,test,31.8,38.19151360093707,6.3915136009370705,95.47628813436121,1.0
2022-05-31,10,5,test,32.0,30.766107984093058,-1.2338920159069424,71.8754591663908,1.0
2022-05-31,10,10,test,34.1,51.01531433191733,16.91531433191733,128.526857388147,1.0
2022-05-31,5,10,test,36.0,20.051370245000875,-15.948629754999125,16.670854911250988,1.0
2022-05-31,1,5,test,54.9,118.7961099985205,63.89610999852051,-94.75506271332522,1.0
2022-05-31,5,1,test,49.6,15.259406826335766,-34.34059317366423,1.721559821604157,1.0
2022-05-31,1,1,test,64.5,41.51938564737301,-22.980614352626993,25.830401261068076,1.0
2022-05-31,5,5,test,40.10000000000001,27.112218079967246,-12.987781920032763,-39.94573610340821,1.0
2022-05-31,1,10,test,45.0,76.10287292325803,31.102872923258033,-60.19631917452936,1.0
2022-06-30,1,1,test,68.2,27.279002588614713,-40.92099741138529,9.015366965937666,1.0
2022-06-30,1,5,test,57.2,139.99442097668344,82.79442097668344,-111.69409224247688,1.0
2022-06-30,1,10,test,46.0,96.47803668351331,50.47803668351331,-76.85249961285932,1.0
2022-06-30,5,1,test,44.0,18.22805992078647,-25.77194007921353,-19.13539628960265,1.0
2022-06-30,5,10,test,32.5,19.138420380837935,-13.361579619162065,-4.931123790871505,1.0
2022-06-30,10,1,test,29.599999999999998,31.29610986009373,1.6961098600937312,75.70236442963417,1.0
2022-06-30,10,5,test,28.999999999999996,26.08794558781526,-2.9120544121847374,53.133369496128736,1.0
2022-06-30,10,10,test,30.9,45.126100446013005,14.226100446013007,113.21637283503381,1.0
2022-06-30,5,5,test,36.6,36.60001584806639,1.5848066389878568e-05,-61.72131206413365,1.0
2022-07-29,10,10,test,42.9,54.26943789388432,11.369437893884324,136.85510137893073,1.0
2022-07-29,5,10,test,42.8,26.211477346352872,-16.588522653647125,39.340162222963095,1.0
2022-07-29,10,5,test,38.0,35.20935172963525,-2.7906482703647484,86.05671215657857,1.0
2022-07-29,10,1,test,35.8,44.61769824622732,8.817698246227323,112.3090472515836,1.0
2022-07-29,5,5,test,47.400000000000006,19.289122992011883,-28.110877007988123,-10.818100199459483,1.0
2022-07-29,1,10,test,61.4,42.20764451618584,-19.19235548381416,-28.07857757260665,1.0
2022-07-29,1,5,test,83.7,74.33135734717816,-9.368642652821848,-58.60704081584426,1.0
2022-07-29,1,1,test,107.6,41.477614393131,-66.12238560686899,26.929866613829898,1.0
2022-07-29,5,1,test,57.3,23.8030181796196,-33.4969818203804,38.38522256583669,1.0
2022-08-31,10,10,test,35.8,54.43539256314986,18.635392563149864,137.16135402326847,1.0
2022-08-31,10,5,test,34.1,33.19523979419029,-0.9047602058097084,77.5241289438861,1.0
2022-08-31,10,1,test,34.1,38.49581547431138,4.395815474311377,95.62405846269311,1.0
2022-08-31,5,10,test,36.2,20.569913147838594,-15.630086852161408,16.23969151270052,1.0
2022-08-31,5,5,test,41.1,29.09423748360145,-12.005762516398551,-43.31788096975848,1.0
2022-08-31,1,10,test,50.699999999999996,75.37570694547583,24.67570694547583,-59.59774968688119,1.0
2022-08-31,1,5,test,60.699999999999996,141.42664852708276,80.72664852708277,-112.83550944770464,1.0
2022-08-31,1,1,test,62.8,50.616401808381724,-12.183598191618273,-38.60736721102352,1.0
2022-08-31,5,1,test,50.6,16.65404757126446,-33.94595242873554,-4.4470198511796415,1.0
