as_of_date,ccy,z_1
2018-01-31,DKK,0.11456197
2018-02-28,DKK,0.12158327
2018-03-30,DKK,0.11015961
2018-04-30,DKK,0.11470555
2018-05-31,DKK,0.10713446
2018-06-29,DKK,0.10381995
2018-07-31,DKK,0.10848179
2018-08-31,DKK,0.10491845
2018-09-28,DKK,0.112840086
2018-10-31,DKK,0.10968967
2018-11-30,DKK,0.10429448
2018-12-31,DKK,0.100868195
2019-01-31,DKK,0.08854242
2019-02-28,DKK,0.090018466
2019-03-29,DKK,0.06807375
2019-04-30,DKK,0.071037024
2019-05-31,DKK,0.053750217
2019-06-28,DKK,0.030011978
2019-07-31,DKK,0.016242545
2019-08-30,DKK,-0.022600763
2019-09-30,DKK,-0.00653709
2019-10-31,DKK,0.013756593
2019-11-29,DKK,0.019658506
2019-12-31,DKK,0.03555798
2020-01-31,DKK,0.00840859
2020-02-28,DKK,-0.0069074095
2020-03-31,DKK,0.02801915
2020-04-30,DKK,0.007622156
2020-05-29,DKK,0.011657042
2020-06-30,DKK,0.0079712765
2020-07-31,DKK,0.0025414114
2020-08-31,DKK,0.013216043
2020-09-30,DKK,0.0017765152
2020-10-30,DKK,-0.003386174
2020-11-30,DKK,0.0015502291
2020-12-31,DKK,0.001620804
2021-01-29,DKK,0.010087216
2021-02-26,DKK,0.034781326
2021-03-31,DKK,0.03841263
2021-04-30,DKK,0.04604895
2021-05-31,DKK,0.04734298
2021-06-30,DKK,0.04598473
2021-07-30,DKK,0.030268112
2021-08-31,DKK,0.03262317
2021-09-30,DKK,0.046221435
2021-10-29,DKK,0.05032834
2021-11-30,DKK,0.03411745
2021-12-31,DKK,0.050056536
2022-01-31,DKK,0.06655826
2022-02-28,DKK,0.10541907
2022-03-31,DKK,0.15686598
2022-04-29,DKK,0.22299945
2022-05-31,DKK,0.24872968
2022-06-30,DKK,0.2966954
2022-07-29,DKK,0.2410469
2022-08-31,DKK,0.35725462
2022-09-30,DKK,0.43852884
2022-10-31,DKK,0.43396783
2022-11-30,DKK,0.3982973
2022-12-30,DKK,0.46646082
2023-01-31,DKK,0.4453972
2023-02-28,DKK,0.49965888
2023-03-31,DKK,0.47043115
2023-04-28,DKK,0.46820343
2023-05-31,DKK,0.46996814
2023-06-30,DKK,0.49227744
2023-07-31,DKK,0.49184942
2023-08-31,DKK,0.4879602
2023-09-29,DKK,0.523965
2023-10-31,DKK,0.5141498
2023-11-30,DKK,0.47249937
2023-12-29,DKK,0.40297988
2024-01-31,DKK,0.4124655
2024-02-29,DKK,0.44395524
2010-01-29,EUR,0.38521552
2010-02-26,EUR,0.3681458
2010-03-31,EUR,0.36486202
2010-04-30,EUR,0.35556546
2010-05-31,EUR,0.32851845
2010-06-30,EUR,0.33025587
2010-07-30,EUR,0.3416658
2010-08-31,EUR,0.2755876
2010-09-30,EUR,0.31101704
2010-10-29,EUR,0.33236623
2010-11-30,EUR,0.35013577
2010-12-31,EUR,0.36810166
2011-01-31,EUR,0.40678394
2011-02-28,EUR,0.40974247
2011-03-31,EUR,0.44314346
2011-04-29,EUR,0.4348655
2011-05-31,EUR,0.41283515
2011-06-30,EUR,0.42288858
2011-07-29,EUR,0.38390386
2011-08-31,EUR,0.3438787
2011-09-30,EUR,0.3066068
2011-10-31,EUR,0.30855167
2011-11-30,EUR,0.31691223
2011-12-30,EUR,0.28469113
2012-01-31,EUR,0.2649448
2012-02-29,EUR,0.26465434
2012-03-30,EUR,0.26484314
2012-04-30,EUR,0.25049576
2012-05-31,EUR,0.19876352
2012-06-29,EUR,0.22474992
2012-07-31,EUR,0.19933575
2012-08-31,EUR,0.1896025
2012-09-28,EUR,0.19402826
2012-10-31,EUR,0.19745123
2012-11-30,EUR,0.18834268
2012-12-31,EUR,0.18021047
2013-01-31,EUR,0.21724409
2013-02-28,EUR,0.19719104
2013-03-29,EUR,0.1941886
2013-04-30,EUR,0.17401257
2013-05-31,EUR,0.19519341
2013-06-28,EUR,0.2169624
2013-07-31,EUR,0.21295232
2013-08-30,EUR,0.23429388
2013-09-30,EUR,0.22131553
2013-10-31,EUR,0.21541813
2013-11-29,EUR,0.21259683
2013-12-31,EUR,0.22864059
2014-01-31,EUR,0.20629427
2014-02-28,EUR,0.2047638
2014-03-31,EUR,0.20263599
2014-04-30,EUR,0.19493844
2014-05-30,EUR,0.18144768
2014-06-30,EUR,0.17006429
2014-07-31,EUR,0.16445635
2014-08-29,EUR,0.13467835
2014-09-30,EUR,0.1403613
2014-10-31,EUR,0.13413955
2014-11-28,EUR,0.11929384
2014-12-31,EUR,0.10589431
2015-01-30,EUR,0.08565743
2015-02-27,EUR,0.08430513
2015-03-31,EUR,0.061511572
2015-04-30,EUR,0.07410141
2015-05-29,EUR,0.09525445
2015-06-30,EUR,0.124760166
2015-07-31,EUR,0.10939287
2015-08-31,EUR,0.12287637
2015-09-30,EUR,0.10883781
2015-10-30,EUR,0.101013415
2015-11-30,EUR,0.094251245
2015-12-31,EUR,0.10878719
2016-01-29,EUR,0.074308895
2016-02-29,EUR,0.054212485
2016-03-31,EUR,0.061338797
2016-04-29,EUR,0.076132
2016-05-31,EUR,0.065323174
2016-06-30,EUR,0.04706464
2016-07-29,EUR,0.035195813
2016-08-31,EUR,0.037258193
2016-09-30,EUR,0.03706155
2016-10-31,EUR,0.057901632
2016-11-30,EUR,0.072775185
2016-12-30,EUR,0.07283812
2017-01-31,EUR,0.08583968
2017-02-28,EUR,0.07535715
2017-03-31,EUR,0.08258179
2017-04-28,EUR,0.08412238
2017-05-31,EUR,0.08427824
2017-06-30,EUR,0.09291361
2017-07-31,EUR,0.09612003
2017-08-31,EUR,0.08352629
2017-09-29,EUR,0.093317755
2017-10-31,EUR,0.08663576
2017-11-30,EUR,0.08526949
2017-12-29,EUR,0.08824673
2018-01-31,EUR,0.096159734
2018-02-28,EUR,0.10019538
2018-03-30,EUR,0.089734145
2018-04-30,EUR,0.09258846
2018-05-31,EUR,0.088668205
2018-06-29,EUR,0.08487328
2018-07-31,EUR,0.09124257
2018-08-31,EUR,0.08711377
2018-09-28,EUR,0.09551348
2018-10-31,EUR,0.09309371
2018-11-30,EUR,0.0872123
2018-12-31,EUR,0.081046686
2019-01-31,EUR,0.07103388
2019-02-28,EUR,0.0765751
2019-03-29,EUR,0.0552686
2019-04-30,EUR,0.05866425
2019-05-31,EUR,0.039735362
2019-06-28,EUR,0.019462133
2019-07-31,EUR,0.0012136376
2019-08-30,EUR,-0.034236707
2019-09-30,EUR,-0.017555598
2019-10-31,EUR,0.0025421567
2019-11-29,EUR,0.0063659092
2019-12-31,EUR,0.021808688
2020-01-31,EUR,-0.004456303
2020-02-28,EUR,-0.021828845
2020-03-31,EUR,-0.0055631893
2020-04-30,EUR,-0.019177066
2020-05-29,EUR,-0.013430326
2020-06-30,EUR,-0.020758912
2020-07-31,EUR,-0.029254705
2020-08-31,EUR,-0.020458426
2020-09-30,EUR,-0.03135284
2020-10-30,EUR,-0.03826281
2020-11-30,EUR,-0.034178182
2020-12-31,EUR,-0.035377465
2021-01-29,EUR,-0.02874595
2021-02-26,EUR,-0.006102505
2021-03-31,EUR,-0.0016120905
2021-04-30,EUR,0.0045041605
2021-05-31,EUR,0.0028165984
2021-06-30,EUR,0.0015215506
2021-07-30,EUR,-0.014702288
2021-08-31,EUR,-0.010907177
2021-09-30,EUR,0.0050452063
2021-10-29,EUR,0.013201759
2021-11-30,EUR,-0.0014763838
2021-12-31,EUR,0.017026413
2022-01-31,EUR,0.033855554
2022-02-28,EUR,0.066155925
2022-03-31,EUR,0.12042824
2022-04-29,EUR,0.1889433
2022-05-31,EUR,0.20929986
2022-06-30,EUR,0.25341362
2022-07-29,EUR,0.20389381
2022-08-31,EUR,0.3195228
2022-09-30,EUR,0.40107775
2022-10-31,EUR,0.40642732
2022-11-30,EUR,0.37764
2022-12-30,EUR,0.44663638
2023-01-31,EUR,0.42491508
2023-02-28,EUR,0.48188853
2023-03-31,EUR,0.4428119
2023-04-28,EUR,0.452351
2023-05-31,EUR,0.45253736
2023-06-30,EUR,0.47471452
2023-07-31,EUR,0.47368562
2023-08-31,EUR,0.46895748
2023-09-29,EUR,0.50765586
2023-10-31,EUR,0.4953618
2023-11-30,EUR,0.44758087
2023-12-29,EUR,0.3817876
2024-01-31,EUR,0.39115897
2024-02-29,EUR,0.42567402
2010-01-29,JPY,0.12901263
2010-02-26,JPY,0.13316405
2010-03-31,JPY,0.1401181
2010-04-30,JPY,0.13402686
2010-05-31,JPY,0.12801734
2010-06-30,JPY,0.11137162
2010-07-30,JPY,0.106109425
2010-08-31,JPY,0.10200841
2010-09-30,JPY,0.10311775
2010-10-29,JPY,0.10705505
2010-11-30,JPY,0.12168503
2010-12-31,JPY,0.113312125
2011-01-31,JPY,0.11967109
2011-02-28,JPY,0.12318488
2011-03-31,JPY,0.11978544
2011-04-29,JPY,0.114642724
2011-05-31,JPY,0.10956112
2011-06-30,JPY,0.10922634
2011-07-29,JPY,0.101645924
2011-08-31,JPY,0.09894955
2011-09-30,JPY,0.09521502
2011-10-31,JPY,0.09859931
2011-11-30,JPY,0.09614736
2011-12-30,JPY,0.08776057
2012-01-31,JPY,0.090946436
2012-02-29,JPY,0.09390837
2012-03-30,JPY,0.099209905
2012-04-30,JPY,0.09102603
2012-05-31,JPY,0.080961086
2012-06-29,JPY,0.0856352
2012-07-31,JPY,0.0829821
2012-08-31,JPY,0.086793974
2012-09-28,JPY,0.08905278
2012-10-31,JPY,0.097356856
2012-11-30,JPY,0.09681992
2012-12-31,JPY,0.10573676
2013-01-31,JPY,0.10463743
2013-02-28,JPY,0.09664182
2013-03-29,JPY,0.08876616
2013-04-30,JPY,0.09309964
2013-05-31,JPY,0.1049004
2013-06-28,JPY,0.106556505
2013-07-31,JPY,0.10510953
2013-08-30,JPY,0.099917665
2013-09-30,JPY,0.09713481
2013-10-31,JPY,0.08872458
2013-11-29,JPY,0.091651246
2013-12-31,JPY,0.10180862
2014-01-31,JPY,0.091840595
2014-02-28,JPY,0.09208694
2014-03-31,JPY,0.095029645
2014-04-30,JPY,0.08983105
2014-05-30,JPY,0.085618824
2014-06-30,JPY,0.08410758
2014-07-31,JPY,0.081525214
2014-08-29,JPY,0.077569455
2014-09-30,JPY,0.081351906
2014-10-31,JPY,0.0737429
2014-11-28,JPY,0.07177678
2014-12-31,JPY,0.06352031
2015-01-30,JPY,0.060788054
2015-02-27,JPY,0.06966062
2015-03-31,JPY,0.071238376
2015-04-30,JPY,0.069312006
2015-05-29,JPY,0.07463814
2015-06-30,JPY,0.0786605
2015-07-31,JPY,0.07583205
2015-08-31,JPY,0.07489815
2015-09-30,JPY,0.07046879
2015-10-30,JPY,0.06786516
2015-11-30,JPY,0.06526736
2015-12-31,JPY,0.06209381
2016-01-29,JPY,0.045842327
2016-02-29,JPY,0.010502903
2016-03-31,JPY,0.013240199
2016-04-29,JPY,0.005914067
2016-05-31,JPY,-0.0005800021
2016-06-30,JPY,-0.023205668
2016-07-29,JPY,-0.009346888
2016-08-31,JPY,-0.0017299829
2016-09-30,JPY,-0.0042235376
2016-10-31,JPY,0.00423764
2016-11-30,JPY,0.013329224
2016-12-30,JPY,0.019559378
2017-01-31,JPY,0.026769545
2017-02-28,JPY,0.025780091
2017-03-31,JPY,0.027406927
2017-04-28,JPY,0.019109564
2017-05-31,JPY,0.020285167
2017-06-30,JPY,0.021881385
2017-07-31,JPY,0.022464944
2017-08-31,JPY,0.020849757
2017-09-29,JPY,0.025337651
2017-10-31,JPY,0.031036193
2017-11-30,JPY,0.031365257
2017-12-29,JPY,0.031061701
2018-01-31,JPY,0.033160586
2018-02-28,JPY,0.029675119
2018-03-30,JPY,0.029160902
2018-04-30,JPY,0.030627176
2018-05-31,JPY,0.029132314
2018-06-29,JPY,0.028343987
2018-07-31,JPY,0.032556802
2018-08-31,JPY,0.036543425
2018-09-28,JPY,0.03883286
2018-10-31,JPY,0.03960075
2018-11-30,JPY,0.0338283
2018-12-31,JPY,0.026632827
2019-01-31,JPY,0.020682037
2019-02-28,JPY,0.020712784
2019-03-29,JPY,0.0134725375
2019-04-30,JPY,0.016300727
2019-05-31,JPY,0.010356936
2019-06-28,JPY,0.0015501089
2019-07-31,JPY,-0.00013065361
2019-08-30,JPY,-0.013653345
2019-09-30,JPY,-0.0031479485
2019-10-31,JPY,-0.0015752712
2019-11-29,JPY,0.0065658963
2019-12-31,JPY,0.012740542
2020-01-31,JPY,0.0026603371
2020-02-28,JPY,-0.008930962
2020-03-31,JPY,0.004186535
2020-04-30,JPY,-0.0006580913
2020-05-29,JPY,0.0022765317
2020-06-30,JPY,0.0061718198
2020-07-31,JPY,0.0031350765
2020-08-31,JPY,0.010688527
2020-09-30,JPY,0.006362797
2020-10-30,JPY,0.011142837
2020-11-30,JPY,0.008931544
2020-12-31,JPY,0.011250086
2021-01-29,JPY,0.014261478
2021-02-26,JPY,0.023882873
