expiry,tenor,forward_swap_0,annuity_0,strike,payer_price,receiver_price,mc_price,mc_stderr,mc_std,forward_bias,implied_vol,implied_vol_bps,valid_paths,total_paths,mean_annuity_expiry,mean_swap_rate_expiry,mean_discount_to_expiry,success,structure,date,pricing_date
1,5,0.0037317649461556667,4.980812592462895,0.0037317649461556667,0.13763806889260155,0.15912715526104707,0.1483826120768243,0.0036991116100881785,,-0.004314373602605206,0.07467457247000242,746.7457247000242,4889,10000,4.963487922960195,0.019325019114220722,0.9777565280610284,True,1x5,2016-01-29,2016-01-29
1,10,0.00853512214464629,9.71382365938852,0.00853512214464629,0.24666505400432173,0.2516327400376073,0.24914889702096454,0.0047244404952709,,-0.0005114037692545789,0.06429225933726601,642.9225933726601,4889,10000,9.713945941144877,0.031629231604183655,0.9777565280610284,True,1x10,2016-01-29,2016-01-29
5,1,0.009338189817015499,0.98359371132461,0.009338189817015499,0.04073654223514335,0.012680215266838112,0.026708378750990733,0.0004463852880234397,,0.028524304949572782,0.03043944396552315,304.3944396552315,4798,10000,0.9499053389850605,0.05815947450399454,0.8162755588789135,True,5x1,2016-01-29,2016-01-29
5,5,0.01234885984033632,4.797332516514137,0.01234885984033632,0.16147752673410407,0.08780330139100423,0.12464041406255415,0.0026220094643387326,,0.015357331410630127,0.029124869857319925,291.24869857319925,4798,10000,4.424045538300778,0.05561598563024849,0.8162755588789135,True,5x5,2016-01-29,2016-01-29
5,10,0.014516440874960923,9.24333706503622,0.014516440874960923,0.27037239628875936,0.14719783788910845,0.2087851170889339,0.0037309438769486942,,0.013325767256240184,0.02532069834009676,253.2069834009676,4798,10000,8.075402593502771,0.06111715257607677,0.8162755588789135,True,5x10,2016-01-29,2016-01-29
10,1,0.015517543721838457,0.9192722617360978,0.015517543721838457,0.03379881818374948,0.010927565455944763,0.022363191819847122,0.0004018195771717183,,0.02487973767924974,0.019283220497442567,192.83220497442568,4590,10000,0.9356982592233735,0.07288507238082433,0.6664901420571416,True,10x1,2016-01-29,2016-01-29
10,5,0.016855306448780596,4.446004548522082,0.016855306448780596,0.13379330801942824,0.07592075452675696,0.1048570312730926,0.0028439980997777134,,0.013016755349903762,0.01869466078385911,186.94660783859112,4590,10000,4.242601370632943,0.06920092491742386,0.6664901420571416,True,10x5,2016-01-29,2016-01-29
10,10,0.017737066275880713,8.508765882796663,0.017737066275880713,0.2249249019270087,0.13262679931000884,0.17877585061850876,0.0044587467437639285,,0.0108474135836328,0.016654523550627645,166.54523550627644,4590,10000,7.552333933479133,0.07315717041269408,0.6664901420571416,True,10x10,2016-01-29,2016-01-29
1,1,0.0014865621540584438,0.9993961776515898,0.0014865621540584438,0.03171961787211597,0.024674413829366016,0.02819701585074099,0.0011399167604068212,,0.007049460664643502,0.07072214080082881,707.2214080082881,4932,10000,0.9897696374267831,0.020553538628911995,0.9766601997178946,True,1x1,2015-12-31,2015-12-31
1,5,0.006151504663888526,4.942245732025214,0.006151504663888526,0.13207369437791844,0.15940572429544522,0.14573970933668184,0.003569126526914287,,-0.0055302855016735025,0.07391685803735479,739.1685803735479,4932,10000,4.943570206601779,0.019863398232346258,0.9766601997178946,True,1x5,2015-12-31,2015-12-31
