date,expiry,tenor,split,sigma_mkt,sigma_adj,sigma_atm,forward_bias_bp,F0,F_model,n_surv
2022-06-30,5,5,test,36.6,422.325937322138,323.4351964051668,-173.79167319134822,0.01882200874388218,0.0014428414247473556,0.5146484375
2022-06-30,5,10,test,32.5,285.07098850882346,303.32346272413594,35.36925136532327,0.021526874974370003,0.02506380011090233,0.51416015625
2022-06-30,10,1,test,29.599999999999998,219.9734253340934,259.27728060998425,122.6087307763209,0.009388510137796402,0.021649383215428492,0.5205078125
2022-06-30,10,5,test,28.999999999999996,258.5681556884333,207.0095944381481,-161.43062951029043,0.01882200874388218,0.002678945792853136,0.48291015625
2022-06-30,10,10,test,30.9,176.28764508172236,182.51048320217973,22.295706823341163,0.021526874974370003,0.02375644565670412,0.4814453125
2022-07-29,1,1,test,107.6,699.4348098735105,720.6952130884262,16.133098315817758,0.009207387454807758,0.010820697286389534,0.59326171875
2022-07-29,1,5,test,83.7,1490.3267296063639,573.78991640893,-555.34267986968,0.014000631868839264,-0.041533636118128735,0.5771484375
2022-07-29,1,10,test,61.4,696.3055828021235,635.8703375152272,-47.3918482201037,0.016258196905255318,0.011519012083244948,0.54443359375
2022-07-29,5,1,test,57.3,316.37336568584357,447.25039918349233,221.5839285567124,0.009207387454807758,0.031365780310479,0.546875
2022-07-29,5,5,test,47.400000000000006,408.64122043011616,338.850056827796,-123.45242663605443,0.014000631868839264,0.0016553892052338214,0.52001953125
2022-07-29,5,10,test,42.8,295.3479170818975,307.83055120815794,25.39994959169532,0.016258196905255318,0.01879819186442485,0.5107421875
2022-07-29,10,1,test,35.8,221.01134845846966,270.55223637552933,148.58542625725667,0.009207387454807758,0.024065930080533426,0.4853515625
2022-07-29,10,5,test,38.0,234.6896310464327,227.71734892508968,-21.08334705612851,0.014000631868839264,0.011892297163226413,0.47900390625
2022-07-29,10,10,test,42.9,196.86731691046802,188.80459732212984,-28.15478863392203,0.016258196905255318,0.013442718041863115,0.48779296875
2022-08-31,1,1,test,62.8,702.8847069974493,572.2269095435606,-102.66929927965155,0.01869933120906353,0.008432401281098375,0.6181640625
