model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2021-02-26,10,1,181.1,333.8,152.7,1.0
stable,Stable (dim4),2021-02-26,10,5,110.7,254.0,143.3,1.0
stable,Stable (dim4),2021-02-26,10,10,132.5,204.0,71.5,1.0
stable,Stable (dim4),2021-03-31,1,10,573.5,585.8,12.3,1.0
stable,Stable (dim4),2021-03-31,5,5,300.6,388.8,88.2,1.0
stable,Stable (dim4),2021-03-31,5,10,103.0,326.5,223.5,1.0
stable,Stable (dim4),2021-03-31,10,1,105.5,332.4,226.9,1.0
stable,Stable (dim4),2021-03-31,10,5,78.8,251.3,172.5,1.0
stable,Stable (dim4),2021-03-31,10,10,83.0,201.7,118.7,1.0
stable,Stable (dim4),2021-04-30,1,10,234.2,590.5,356.3,1.0
stable,Stable (dim4),2021-04-30,5,5,169.5,395.9,226.4,1.0
stable,Stable (dim4),2021-04-30,5,10,91.8,314.2,222.4,1.0
stable,Stable (dim4),2021-04-30,10,1,89.8,337.5,247.7,1.0
stable,Stable (dim4),2021-04-30,10,5,73.2,256.5,183.3,1.0
stable,Stable (dim4),2021-04-30,10,10,76.4,199.0,122.6,1.0
stable,Stable (dim4),2021-05-31,1,10,237.2,616.3,379.1,1.0
stable,Stable (dim4),2021-05-31,5,5,282.8,397.8,115.0,1.0
stable,Stable (dim4),2021-05-31,5,10,98.5,330.8,232.3,1.0
stable,Stable (dim4),2021-05-31,10,1,103.8,326.6,222.8,1.0
stable,Stable (dim4),2021-05-31,10,5,78.3,254.2,175.9,1.0
stable,Stable (dim4),2021-05-31,10,10,80.8,205.4,124.6,1.0
stable,Stable (dim4),2021-06-30,1,10,250.5,611.9,361.4,1.0
stable,Stable (dim4),2021-06-30,5,5,288.4,394.2,105.8,1.0
stable,Stable (dim4),2021-06-30,5,10,100.3,326.0,225.7,1.0
stable,Stable (dim4),2021-06-30,10,1,107.6,330.3,222.7,1.0
stable,Stable (dim4),2021-06-30,10,5,81.8,256.1,174.3,1.0
stable,Stable (dim4),2021-06-30,10,10,86.7,214.1,127.4,1.0
stable,Stable (dim4),2021-07-30,1,10,704.0,609.4,-94.6,1.0
stable,Stable (dim4),2021-07-30,5,5,208.3,410.2,201.9,1.0
stable,Stable (dim4),2021-07-30,5,10,276.2,328.8,52.6,1.0
