date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2013-02-28,1,10,35.9,518.0,105.4,482.1,69.5
2013-02-28,5,1,39.5,460.9,195.1,421.4,155.6
2013-02-28,5,5,29.1,353.5,129.3,324.4,100.2
2013-02-28,5,10,26.3,286.4,98.4,260.1,72.1
2013-02-28,10,1,23.5,291.5,141.3,268.0,117.8
2013-02-28,10,5,21.9,226.6,99.4,204.7,77.5
2013-02-28,10,10,22.9,177.9,77.0,155.0,54.1
2013-03-29,1,1,94.2,709.9,267.9,615.7,173.7
2013-03-29,1,5,51.2,570.8,139.0,519.6,87.8
2013-03-29,1,10,36.3,517.0,113.4,480.7,77.1
2013-03-29,5,1,43.2,444.5,195.1,401.3,151.9
2013-03-29,5,5,31.2,349.4,130.8,318.2,99.6
2013-03-29,5,10,27.7,274.6,104.8,246.9,77.1
2013-03-29,10,1,24.8,283.8,144.5,259.0,119.7
2013-03-29,10,5,23.0,217.5,92.2,194.5,69.2
2013-03-29,10,10,23.8,176.7,77.7,152.9,53.9
2013-04-30,1,1,103.9,734.7,277.9,630.8,174.0
2013-04-30,1,5,52.9,591.3,141.4,538.4,88.5
2013-04-30,1,10,36.9,528.6,118.3,491.7,81.4
2013-04-30,5,1,47.0,456.9,189.8,409.9,142.8
2013-04-30,5,5,33.1,355.7,134.6,322.6,101.5
2013-04-30,5,10,29.0,293.2,103.9,264.2,74.9
2013-04-30,10,1,25.8,296.0,141.4,270.2,115.6
2013-04-30,10,5,24.0,226.7,105.7,202.7,81.7
2013-04-30,10,10,25.0,175.6,84.3,150.6,59.3
2013-05-31,1,1,107.4,752.4,276.7,645.0,169.3
2013-05-31,1,5,51.7,564.4,135.4,512.7,83.7
2013-05-31,1,10,35.5,505.4,107.5,469.9,72.0
2013-05-31,5,1,40.8,445.4,195.4,404.6,154.6
2013-05-31,5,5,30.6,356.5,127.5,325.9,96.9
2013-05-31,5,10,27.2,280.9,97.8,253.7,70.6
2013-05-31,10,1,23.6,288.5,139.2,264.9,115.6
2013-05-31,10,5,22.5,216.1,99.6,193.6,77.1
2013-05-31,10,10,23.4,175.6,80.9,152.2,57.5
2013-06-28,1,1,93.2,697.9,318.6,604.7,225.4
2013-06-28,1,5,50.4,538.4,120.9,488.0,70.5
2013-06-28,1,10,33.5,457.2,95.0,423.7,61.5
2013-06-28,5,1,37.3,465.1,201.7,427.8,164.4
2013-06-28,5,5,28.6,325.0,117.0,296.4,88.4
2013-06-28,5,10,25.8,278.4,95.6,252.6,69.8
2013-06-28,10,1,24.1,290.3,145.4,266.2,121.3
2013-06-28,10,5,22.4,216.5,95.9,194.1,73.5
2013-06-28,10,10,23.2,173.3,72.4,150.1,49.2
2013-07-31,1,1,84.1,714.4,300.4,630.3,216.3
2013-07-31,1,5,47.0,548.0,115.6,501.0,68.6
2013-07-31,1,10,32.8,509.7,97.0,476.9,64.2
2013-07-31,5,1,38.1,445.3,189.1,407.2,151.0
2013-07-31,5,5,28.9,342.4,110.1,313.5,81.2
2013-07-31,5,10,26.3,268.7,99.7,242.4,73.4
2013-07-31,10,1,24.1,288.9,136.3,264.8,112.2
2013-07-31,10,5,22.5,216.4,92.6,193.9,70.1
2013-07-31,10,10,23.2,172.1,76.0,148.9,52.8
2013-08-30,1,1,83.8,651.7,296.4,567.9,212.6
2013-08-30,1,5,49.1,500.9,127.1,451.8,78.0
2013-08-30,1,10,33.6,467.8,90.7,434.2,57.1
2013-08-30,5,1,37.4,446.2,203.2,408.8,165.8
2013-08-30,5,5,28.9,326.9,114.2,298.0,85.3
2013-08-30,5,10,25.8,272.4,88.5,246.6,62.7
2013-08-30,10,1,23.6,275.6,145.3,252.0,121.7
2013-08-30,10,5,21.7,209.0,88.6,187.3,66.9
2013-08-30,10,10,22.5,167.9,68.9,145.4,46.4
2013-09-30,1,1,89.6,676.7,304.3,587.1,214.7
2013-09-30,1,5,47.7,550.2,117.0,502.5,69.3
2013-09-30,1,10,32.9,450.1,85.6,417.2,52.7
2013-09-30,5,1,38.2,448.7,203.9,410.5,165.7
2013-09-30,5,5,28.6,333.7,112.6,305.1,84.0
2013-09-30,5,10,25.8,269.7,95.9,243.9,70.1
2013-09-30,10,1,23.9,278.4,141.4,254.5,117.5
2013-09-30,10,5,22.3,212.2,97.2,189.9,74.9
2013-09-30,10,10,22.9,168.4,74.3,145.5,51.4
2013-10-31,1,1,90.0,727.5,302.8,637.5,212.8
2013-10-31,1,5,47.9,555.4,125.8,507.5,77.9
2013-10-31,1,10,32.7,492.5,98.6,459.8,65.9
2013-10-31,5,1,38.4,432.3,200.9,393.9,162.5
2013-10-31,5,5,29.1,335.2,125.5,306.1,96.4
2013-10-31,5,10,26.1,288.3,95.6,262.2,69.5
2013-10-31,10,1,23.7,299.2,135.2,275.5,111.5
2013-10-31,10,5,22.0,214.2,104.3,192.2,82.3
2013-10-31,10,10,22.3,170.4,73.4,148.1,51.1
2013-11-29,1,1,104.4,751.7,273.9,647.3,169.5
