as_of_date,ccy,z_1,z_2
2015-10-30,DKK,-0.044973906,0.035891585
2015-11-30,DKK,-0.04255837,0.045127425
2015-12-31,DKK,-0.047554582,0.038661316
2016-01-29,DKK,-0.038203694,0.03675253
2016-02-29,DKK,-0.03189739,0.032830615
2016-03-31,DKK,-0.03329838,0.03179754
2016-04-29,DKK,-0.0379779,0.038340088
2016-06-30,DKK,-0.025000323,0.034182597
2016-07-29,DKK,-0.022559632,0.032795135
2016-08-31,DKK,-0.022972824,0.032883998
2016-09-30,DKK,-0.02253492,0.03316743
2016-10-31,DKK,-0.02918526,0.034750696
2016-11-30,DKK,-0.03490547,0.040224276
2016-12-30,DKK,-0.034527723,0.04160037
2017-01-31,DKK,-0.039810747,0.04641734
2017-02-28,DKK,-0.03431019,0.047708217
2017-03-31,DKK,-0.03757674,0.04570222
2017-04-28,DKK,-0.038236067,0.045460768
2017-05-31,DKK,-0.03826274,0.047973678
2017-06-30,DKK,-0.04137634,0.045777287
2017-07-31,DKK,-0.042684983,0.049577944
2017-08-31,DKK,-0.03716072,0.051585317
2017-09-29,DKK,-0.04011658,0.05353445
2017-10-31,DKK,-0.03816968,0.054067
2017-11-30,DKK,-0.037181817,0.050972898
2017-12-29,DKK,-0.037969198,0.04866611
2018-01-31,DKK,-0.041142225,0.04567454
2018-02-28,DKK,-0.043031022,0.047447227
2018-03-30,DKK,-0.03919097,0.04643142
2018-04-30,DKK,-0.040401522,0.046129644
2018-05-31,DKK,-0.03732718,0.046327006
2018-06-29,DKK,-0.036389567,0.048122887
2018-07-31,DKK,-0.038158987,0.04714475
2018-08-31,DKK,-0.03639603,0.046306975
2018-09-28,DKK,-0.03916634,0.043566093
2018-10-31,DKK,-0.038270727,0.04496516
2018-11-30,DKK,-0.03642948,0.046369657
2018-12-31,DKK,-0.034804832,0.04511213
2019-01-31,DKK,-0.030239005,0.043267015
2019-02-28,DKK,-0.030883856,0.044089153
2019-03-29,DKK,-0.0237176,0.04283036
2019-04-30,DKK,-0.02485536,0.045088705
2019-05-31,DKK,-0.019680208,0.04584328
2019-06-28,DKK,-0.012551147,0.04749847
2019-07-31,DKK,-0.008159488,0.046537366
2019-08-30,DKK,0.0035779262,0.042067885
2019-09-30,DKK,-0.0007408172,0.039109293
2019-10-31,DKK,-0.0069144005,0.037576854
2019-11-29,DKK,-0.008340542,0.034458853
2019-12-31,DKK,-0.013529184,0.03447083
2020-01-31,DKK,-0.004767681,0.033463147
2020-02-28,DKK,-0.00035356873,0.03221167
2020-03-31,DKK,-0.00901879,0.015274261
2020-04-30,DKK,-0.002559186,0.0144540025
2020-05-29,DKK,-0.0038240103,0.014451457
2020-06-30,DKK,-0.002953455,0.01783113
2020-07-31,DKK,-0.0011110037,0.017388951
2020-08-31,DKK,-0.004844547,0.021956766
2020-09-30,DKK,-0.0013841246,0.02046064
2020-10-30,DKK,2.0355226e-05,0.023025176
2020-11-30,DKK,-0.0011906181,0.02051718
2020-12-31,DKK,-0.001240246,0.01976131
2021-01-29,DKK,-0.0042745285,0.024495488
2021-02-26,DKK,-0.012173755,0.025420956
2021-03-31,DKK,-0.013725564,0.03261683
2021-04-30,DKK,-0.016440904,0.033858508
2021-05-31,DKK,-0.016635876,0.03239122
2021-06-30,DKK,-0.016067587,0.030362764
2021-07-30,DKK,-0.010560423,0.027692761
2021-08-31,DKK,-0.011477429,0.027382229
2021-09-30,DKK,-0.01656523,0.030149996
2021-10-29,DKK,-0.017195363,0.014203761
2021-11-30,DKK,-0.012545508,0.02113385
2021-12-31,DKK,-0.017731544,0.022551933
2022-01-31,DKK,-0.021974599,0.011544855
2022-02-28,DKK,-0.033795014,0.0077256123
2022-03-31,DKK,-0.046093322,-0.018615872
2022-04-29,DKK,-0.06390894,-0.034788713
2022-05-31,DKK,-0.070198834,-0.04041302
2022-06-30,DKK,-0.08247047,-0.05809602
2022-07-29,DKK,-0.065002225,-0.056683548
2022-08-31,DKK,-0.09137761,-0.12153371
2022-09-30,DKK,-0.11195418,-0.16266365
2022-10-31,DKK,-0.10948816,-0.16264105
2022-11-30,DKK,-0.0967052,-0.16937388
2022-12-30,DKK,-0.113952875,-0.20051885
2023-01-31,DKK,-0.10626934,-0.1975014
2023-02-28,DKK,-0.11913668,-0.2201232
2023-03-31,DKK,-0.112357624,-0.20764187
2023-04-28,DKK,-0.111760125,-0.20620081
2023-05-31,DKK,-0.11173341,-0.20877244
2023-06-30,DKK,-0.11456634,-0.2358247
2023-07-31,DKK,-0.11652497,-0.22263017
2023-08-31,DKK,-0.11591077,-0.21766002
2023-09-29,DKK,-0.12678158,-0.22165942
2023-10-31,DKK,-0.12598231,-0.20582767
2023-11-30,DKK,-0.11428871,-0.19831383
2023-12-29,DKK,-0.09718327,-0.17334175
2024-01-31,DKK,-0.0997193,-0.17510581
2024-02-29,DKK,-0.10625144,-0.19636571
2010-01-29,EUR,-0.11513542,-0.021922085
2010-02-26,EUR,-0.11184478,-0.011808016
2010-03-31,EUR,-0.11038043,-0.010912141
2010-04-30,EUR,-0.10713922,-0.014145347
2010-05-31,EUR,-0.098283455,-0.016906291
2010-06-30,EUR,-0.097877815,-0.017522184
2010-07-30,EUR,-0.10099359,-0.018090922
2010-08-31,EUR,-0.07971051,-0.025772624
2010-09-30,EUR,-0.0889624,-0.034269944
2010-10-29,EUR,-0.09506967,-0.041272763
2010-11-30,EUR,-0.10240315,-0.03358583
2010-12-31,EUR,-0.10996455,-0.028302778
2011-01-31,EUR,-0.1175013,-0.05407504
2011-02-28,EUR,-0.11698648,-0.05957266
2011-03-31,EUR,-0.12545446,-0.07320734
2011-04-29,EUR,-0.122539766,-0.076156005
2011-05-31,EUR,-0.11623387,-0.067953154
2011-06-30,EUR,-0.119577534,-0.06606517
2011-07-29,EUR,-0.108696245,-0.05805458
2011-08-31,EUR,-0.098973446,-0.040691134
2011-09-30,EUR,-0.08686945,-0.048571397
2011-10-31,EUR,-0.086419426,-0.045567226
2011-11-30,EUR,-0.091703676,-0.040073104
2011-12-30,EUR,-0.08097092,-0.03624379
2012-01-31,EUR,-0.076367825,-0.023766933
2012-02-29,EUR,-0.076965116,-0.019657161
2012-03-30,EUR,-0.07804854,-0.014684448
2012-04-30,EUR,-0.07443594,-0.0048791897
2012-05-31,EUR,-0.057345998,-0.017482089
2012-06-29,EUR,-0.067081064,-0.006133386
2012-07-31,EUR,-0.06079955,0.01264602
2012-08-31,EUR,-0.05886302,0.020716472
2012-09-28,EUR,-0.061024822,0.028673265
2012-10-31,EUR,-0.061798256,0.028927455
2012-11-30,EUR,-0.059057876,0.0329029
2012-12-31,EUR,-0.056419834,0.034484025
2013-01-31,EUR,-0.06648208,0.01545171
2013-02-28,EUR,-0.061885346,0.03344868
2013-03-29,EUR,-0.060052756,0.027487604
2013-04-30,EUR,-0.05398796,0.031491283
2013-05-31,EUR,-0.06148692,0.033622246
2013-06-28,EUR,-0.06836981,0.022666097
2013-07-31,EUR,-0.06721733,0.026205264
2013-08-30,EUR,-0.07444829,0.025221255
2013-09-30,EUR,-0.07041097,0.028580396
2013-10-31,EUR,-0.06849126,0.034021787
2013-11-29,EUR,-0.06812772,0.03808479
2013-12-31,EUR,-0.07334869,0.031920776
2014-01-31,EUR,-0.065611586,0.034978483
2014-02-28,EUR,-0.06465657,0.032732427
2014-03-31,EUR,-0.063398026,0.030987978
2014-04-30,EUR,-0.060970727,0.030575043
2014-05-30,EUR,-0.05665067,0.034850203
2014-06-30,EUR,-0.05322854,0.03833206
2014-07-31,EUR,-0.050993424,0.03352335
2014-08-29,EUR,-0.041712597,0.029856589
2014-09-30,EUR,-0.044090405,0.040934455
2014-10-31,EUR,-0.04168461,0.036147114
2014-11-28,EUR,-0.036800724,0.031338964
2014-12-31,EUR,-0.032916818,0.028255805
