as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2011-06-30,GBP,-0.23240694403648376,-0.12856890261173248,0.0833333358168602,0.03095969371497631,0.034126993268728256,-0.0031672995537519455,0.0031672995537519455
2011-07-29,GBP,-0.2100541591644287,-0.11308392882347107,0.0833333358168602,0.028270138427615166,0.03127681463956833,-0.003006676211953163,0.003006676211953163
2011-08-31,GBP,-0.20049667358398438,-0.10807482153177261,0.0833333358168602,0.027136707678437233,0.03001091443002224,-0.0028742067515850067,0.0028742067515850067
2011-09-30,GBP,-0.18404902517795563,-0.10536225885152817,0.0833333358168602,0.02527369186282158,0.027709446847438812,-0.0024357549846172333,0.0024357549846172333
2011-10-31,GBP,-0.18746234476566315,-0.10824491828680038,0.0833333358168602,0.02570805884897709,0.028154704719781876,-0.0024466458708047867,0.0024466458708047867
2011-11-30,GBP,-0.18014243245124817,-0.11069881916046143,0.0833333358168602,0.02493896894156933,0.027063526213169098,-0.0021245572715997696,0.0021245572715997696
2011-12-30,GBP,-0.16984480619430542,-0.1034156009554863,0.0833333358168602,0.02364029921591282,0.02568265236914158,-0.0020423531532287598,0.0020423531532287598
2012-01-31,GBP,-0.1639690101146698,-0.09656020253896713,0.0833333358168602,0.02284625917673111,0.024931423366069794,-0.002085164189338684,0.002085164189338684
2012-02-29,GBP,-0.17239859700202942,-0.09927095472812653,0.0833333358168602,0.023853152990341187,0.026119740679860115,-0.0022665876895189285,0.0022665876895189285
2012-03-30,GBP,-0.17642897367477417,-0.09975934028625488,0.0833333358168602,0.02431613579392433,0.02669704519212246,-0.0023809093981981277,0.0023809093981981277
2012-04-30,GBP,-0.18069814145565033,-0.10692432522773743,0.0833333358168602,0.024929651990532875,0.027202565222978592,-0.002272913232445717,0.002272913232445717
2012-05-31,GBP,-0.15642109513282776,-0.09221333265304565,0.0833333358168602,0.021903226152062416,0.023889891803264618,-0.001986665651202202,0.001986665651202202
2012-06-29,GBP,-0.15173253417015076,-0.07957692444324493,0.0833333358168602,0.021150141954421997,0.023397978395223618,-0.0022478364408016205,0.0022478364408016205
2012-07-31,GBP,-0.137459397315979,-0.06465797126293182,0.0833333358168602,0.01925940066576004,0.021511806175112724,-0.002252405509352684,0.002252405509352684
2012-08-31,GBP,-0.1362239122390747,-0.06299379467964172,0.0833333358168602,0.01909104734659195,0.021353567019104958,-0.002262519672513008,0.002262519672513008
2012-09-28,GBP,-0.1360749900341034,-0.059512875974178314,0.0833333358168602,0.019024422392249107,0.021387314423918724,-0.0023628920316696167,0.0023628920316696167
2012-10-31,GBP,-0.13752344250679016,-0.05875462293624878,0.0833333358168602,0.01918274722993374,0.021616335958242416,-0.0024335887283086777,0.0024335887283086777
2012-11-30,GBP,-0.1355932354927063,-0.05996716022491455,0.0833333358168602,0.01897427625954151,0.0213078074157238,-0.002333531156182289,0.002333531156182289
2012-12-31,GBP,-0.1358170509338379,-0.057375527918338776,0.0833333358168602,0.018964245915412903,0.021383067592978477,-0.0024188216775655746,0.0024188216775655746
2013-01-31,GBP,-0.14806582033634186,-0.06383156776428223,0.0833333358168602,0.020480934530496597,0.023105476051568985,-0.0026245415210723877,0.0026245415210723877
2013-02-28,GBP,-0.13922232389450073,-0.05403994023799896,0.0833333358168602,0.019315281882882118,0.021945908665657043,-0.0026306267827749252,0.0026306267827749252
2013-03-29,GBP,-0.13367679715156555,-0.05254969000816345,0.0833333358168602,0.018647607415914536,0.02113993838429451,-0.0024923309683799744,0.0024923309683799744
2013-04-30,GBP,-0.12897531688213348,-0.04978052154183388,0.0833333358168602,0.018059484660625458,0.02047817036509514,-0.002418685704469681,0.002418685704469681
2013-05-31,GBP,-0.14466607570648193,-0.060155488550662994,0.0833333358168602,0.02003314346075058,0.022659238427877426,-0.0026260949671268463,0.0026260949671268463
2013-06-28,GBP,-0.16463616490364075,-0.07451547682285309,0.0833333358168602,0.022543134167790413,0.02537635713815689,-0.002833222970366478,0.002833222970366478
2013-07-31,GBP,-0.15824183821678162,-0.06646785140037537,0.0833333358168602,0.021687543019652367,0.0245659202337265,-0.002878377214074135,0.002878377214074135
2013-08-30,GBP,-0.17166051268577576,-0.0802895575761795,0.0833333358168602,0.023433184251189232,0.02630932256579399,-0.002876138314604759,0.002876138314604759
2013-09-30,GBP,-0.17108409106731415,-0.08069655299186707,0.0833333358168602,0.02337513491511345,0.026219232007861137,-0.0028440970927476883,0.0028440970927476883
2013-10-31,GBP,-0.16595613956451416,-0.07743687927722931,0.0833333358168602,0.022741634398698807,0.025523334741592407,-0.0027817003428936005,0.0027817003428936005
2013-11-29,GBP,-0.17229893803596497,-0.08096756786108017,0.0833333358168602,0.023516317829489708,0.026391416788101196,-0.0028750989586114883,0.0028750989586114883
2013-12-31,GBP,-0.18933868408203125,-0.09797581285238266,0.0833333358168602,0.025720244273543358,0.028581243008375168,-0.00286099873483181,0.00286099873483181
2014-01-31,GBP,-0.17770463228225708,-0.09085412323474884,0.0833333358168602,0.02429678477346897,0.027020268142223358,-0.002723483368754387,0.002723483368754387
2014-02-28,GBP,-0.17906948924064636,-0.0914781242609024,0.0833333358168602,0.024460909888148308,0.0272076353430748,-0.002746725454926491,0.002746725454926491
2014-03-31,GBP,-0.18223075568675995,-0.09628143906593323,0.0833333358168602,0.024900982156395912,0.027588626369833946,-0.002687644213438034,0.002687644213438034
2014-04-30,GBP,-0.18125945329666138,-0.09733076393604279,0.0833333358168602,0.024812106043100357,0.02743254043161869,-0.0026204343885183334,0.0026204343885183334
2014-05-30,GBP,-0.1781749725341797,-0.0965757966041565,0.0833333358168602,0.024453744292259216,0.026999253779649734,-0.002545509487390518,0.002545509487390518
2014-06-30,GBP,-0.19047096371650696,-0.11088952422142029,0.0833333358168602,0.02609226666390896,0.02854429930448532,-0.0024520326405763626,0.0024520326405763626
2014-07-31,GBP,-0.18646609783172607,-0.1119561642408371,0.0833333358168602,0.02566935122013092,0.027954459190368652,-0.002285107970237732,0.002285107970237732
2014-08-29,GBP,-0.16680479049682617,-0.10033510625362396,0.0833333358168602,0.02323753945529461,0.02528710849583149,-0.0020495690405368805,0.0020495690405368805
2014-09-30,GBP,-0.17247706651687622,-0.10376998037099838,0.0833333358168602,0.023944886401295662,0.026060577481985092,-0.0021156910806894302,0.0021156910806894302
