as_of_date,ccy,z_1,z_2
2018-09-28,CAD,0.066021,-0.106430456
2018-10-31,CAD,0.07008402,-0.11028785
2018-11-30,CAD,0.065117136,-0.10491773
2018-12-31,CAD,0.05721046,-0.09629138
2019-01-31,CAD,0.055014886,-0.09411097
2019-02-28,CAD,0.053378116,-0.095215775
2019-03-29,CAD,0.047781672,-0.083109245
2019-04-30,CAD,0.0455051,-0.087266415
2019-05-31,CAD,0.04370557,-0.078782
2019-06-28,CAD,0.04566185,-0.07444739
2019-07-31,CAD,0.047698576,-0.075314015
2019-08-30,CAD,0.044426393,-0.06323046
2019-09-30,CAD,0.05171317,-0.068048455
2019-10-31,CAD,0.04820762,-0.07225241
2019-11-29,CAD,0.050051365,-0.07379721
2019-12-31,CAD,0.05265271,-0.08368847
2020-01-31,CAD,0.045356914,-0.06830236
2020-02-28,CAD,0.036281954,-0.06116981
2020-03-31,CAD,0.011873016,-0.04906533
2020-04-30,CAD,0.005177024,-0.046771422
2020-05-29,CAD,0.0036648947,-0.04635366
2020-06-30,CAD,0.0041839667,-0.046509087
2020-07-31,CAD,0.0040351837,-0.04315434
2020-08-31,CAD,0.0014225554,-0.050111685
2020-09-30,CAD,0.0016210859,-0.048977204
2020-10-30,CAD,-0.00094785367,-0.053376578
2020-11-30,CAD,0.0003109795,-0.05412139
2020-12-31,CAD,-0.002475143,-0.05566027
2021-01-29,CAD,-0.0057168547,-0.06326886
2021-02-26,CAD,-0.00261197,-0.07744264
2021-03-31,CAD,-0.006823548,-0.088251635
2021-04-30,CAD,-0.0059422646,-0.08544852
2021-05-31,CAD,-0.0040925946,-0.082618795
2021-06-30,CAD,0.00343301,-0.07790992
2021-07-30,CAD,0.0023814354,-0.0725118
2021-08-31,CAD,0.0033982513,-0.073241234
2021-09-30,CAD,0.0063650296,-0.08244333
2021-10-29,CAD,0.028212177,-0.08732549
2021-11-30,CAD,0.029413193,-0.079859145
2021-12-31,CAD,0.03061557,-0.07762453
2022-01-31,CAD,0.037838496,-0.0909801
2022-02-28,CAD,0.04194531,-0.09247959
2022-03-31,CAD,0.06667689,-0.10993504
2022-04-29,CAD,0.079286404,-0.12552826
2022-05-31,CAD,0.07943021,-0.12572399
2022-06-30,CAD,0.09593168,-0.13680285
2022-07-29,CAD,0.095788464,-0.11973092
2022-08-31,CAD,0.11974639,-0.13490438
2022-09-30,CAD,0.12548128,-0.13665016
2022-10-31,CAD,0.13005744,-0.1400059
2022-11-30,CAD,0.13240147,-0.12802234
2022-12-30,CAD,0.13475902,-0.14036292
2023-01-31,CAD,0.12960854,-0.12659344
2023-02-28,CAD,0.14031543,-0.13953519
2023-03-31,CAD,0.12896815,-0.12546407
2023-04-28,CAD,0.13002312,-0.124470115
2023-05-31,CAD,0.14704834,-0.13624471
2023-06-30,CAD,0.16182427,-0.1377366
2023-07-31,CAD,0.16401245,-0.14598392
2023-08-31,CAD,0.16197348,-0.14882751
2023-09-29,CAD,0.16402788,-0.16353512
2023-10-31,CAD,0.15283015,-0.16513285
