as_of_date,ccy,z_1,z_2
2016-09-30,DKK,0.018589268,0.008753967
2016-10-31,DKK,0.022956226,0.009452631
2016-11-30,DKK,0.027237996,0.010929688
2016-12-30,DKK,0.02722432,0.011293189
2017-01-31,DKK,0.031160774,0.01267869
2017-02-28,DKK,0.02787539,0.012681715
2017-03-31,DKK,0.029683521,0.012430605
2017-04-28,DKK,0.030070871,0.0124197155
2017-05-31,DKK,0.030418145,0.012979489
2017-06-30,DKK,0.032093264,0.012675945
2017-07-31,DKK,0.033420626,0.013609021
2017-08-31,DKK,0.030182524,0.013757785
2017-09-29,DKK,0.032312132,0.014386386
2017-10-31,DKK,0.031137982,0.014401732
2017-11-30,DKK,0.03014078,0.013699532
2017-12-29,DKK,0.03034648,0.013274048
2018-01-31,DKK,0.031917397,0.012767839
2018-02-28,DKK,0.03330946,0.013235491
2018-03-30,DKK,0.030749736,0.012777455
2018-04-30,DKK,0.031485453,0.012777017
2018-05-31,DKK,0.029618667,0.012627738
2018-06-29,DKK,0.029214188,0.012987157
2018-07-31,DKK,0.030224094,0.012882013
2018-08-31,DKK,0.029012714,0.012596348
2018-09-28,DKK,0.030412612,0.012162863
2018-10-31,DKK,0.030007418,0.012393029
2018-11-30,DKK,0.029052814,0.012629264
2018-12-31,DKK,0.02782935,0.012169374
2019-01-31,DKK,0.024740057,0.011541246
2019-02-28,DKK,0.025285957,0.011793705
2019-03-29,DKK,0.02060134,0.011119909
2019-04-30,DKK,0.021580737,0.011667409
2019-05-31,DKK,0.018428365,0.011581814
2019-06-28,DKK,0.014096389,0.011547518
2019-07-31,DKK,0.011180603,0.011090103
2019-08-30,DKK,0.0031293442,0.009419896
2019-09-30,DKK,0.005539611,0.009022972
2019-10-31,DKK,0.009251614,0.009025956
2019-11-29,DKK,0.00975783,0.008385915
2019-12-31,DKK,0.013078021,0.008712191
2020-01-31,DKK,0.0073949443,0.0080033215
2020-02-28,DKK,0.0044318065,0.0074970666
2020-03-31,DKK,0.007724423,0.004036935
2020-04-30,DKK,0.0034979994,0.0034998436
2020-05-29,DKK,0.0043278,0.0035687115
2020-06-30,DKK,0.004204542,0.0042755464
2020-07-31,DKK,0.0029776294,0.0040763845
2020-08-31,DKK,0.0059524723,0.0053325235
2020-09-30,DKK,0.0035561647,0.004797505
2020-10-30,DKK,0.0029836963,0.0052870153
2020-11-30,DKK,0.003428759,0.0047808164
2020-12-31,DKK,0.0033794018,0.004643624
2021-01-29,DKK,0.005906606,0.005867099
2021-02-26,DKK,0.011004494,0.0064855223
2021-03-31,DKK,0.012919016,0.008175538
2021-04-30,DKK,0.014810384,0.008648088
2021-05-31,DKK,0.014739382,0.008338462
2021-06-30,DKK,0.014130963,0.007877974
2021-07-30,DKK,0.0103344545,0.0069965296
2021-08-31,DKK,0.010864237,0.0069691325
2021-09-30,DKK,0.01440792,0.007875467
2021-10-29,DKK,0.01272582,0.0043928935
2021-11-30,DKK,0.010700421,0.0056985244
2021-12-31,DKK,0.014178019,0.0063364804
2022-01-31,DKK,0.015467442,0.0041201687
2022-02-28,DKK,0.022461975,0.0038918976
2022-03-31,DKK,0.027044654,-0.0012825583
2022-04-29,DKK,0.036238916,-0.0041297977
