date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2012-07-31,10,10,train,30.5,100.5,0.18302,1.0,178.2,147.7,70.0
2012-08-31,1,1,train,128.7,260.1,0.13841,1.0,682.0,553.3,131.40000000000003
2012-08-31,1,5,train,56.3,128.8,0.15101,1.0,529.1,472.8,72.50000000000001
2012-08-31,1,10,train,43.6,57.3,0.09815,1.0,522.7,479.1,13.699999999999996
2012-08-31,5,1,train,43.6,196.7,0.1419,1.0,465.3,421.7,153.1
2012-08-31,5,5,train,33.7,103.5,0.12419,1.0,355.4,321.7,69.8
2012-08-31,5,10,train,31.3,87.3,0.1274,1.0,285.1,253.8,56.0
2012-08-31,10,1,train,27.0,125.1,0.1214,1.0,284.7,257.7,98.1
2012-08-31,10,5,train,26.1,93.8,0.14504,1.0,219.6,193.5,67.69999999999999
2012-08-31,10,10,train,28.7,104.1,0.18302,1.0,181.7,153.0,75.39999999999999
2012-09-28,1,1,train,117.0,279.8,0.13841,1.0,713.3,596.3,162.8
2012-09-28,1,5,train,51.4,127.8,0.15101,1.0,559.4,508.0,76.4
2012-09-28,1,10,train,39.0,58.0,0.09815,1.0,503.7,464.7,19.0
2012-09-28,5,1,train,40.7,190.0,0.1419,1.0,456.2,415.5,149.3
2012-09-28,5,5,train,32.0,106.7,0.12419,1.0,343.1,311.1,74.7
2012-09-28,5,10,train,29.3,83.2,0.1274,1.0,280.2,250.89999999999998,53.900000000000006
2012-09-28,10,1,train,25.1,123.1,0.1214,1.0,290.5,265.4,98.0
2012-09-28,10,5,train,24.1,99.0,0.14504,1.0,221.8,197.70000000000002,74.9
2012-09-28,10,10,train,25.8,92.2,0.18302,1.0,186.9,161.1,66.4
2012-10-31,1,1,train,101.1,266.3,0.13841,1.0,722.8,621.6999999999999,165.20000000000002
2012-10-31,1,5,train,48.7,134.1,0.15101,1.0,560.0,511.3,85.39999999999999
2012-10-31,1,10,train,37.3,53.8,0.09815,1.0,517.6,480.3,16.5
2012-10-31,5,1,train,38.3,188.7,0.1419,1.0,458.4,420.09999999999997,150.39999999999998
2012-10-31,5,5,train,30.2,94.9,0.12419,1.0,337.5,307.3,64.7
2012-10-31,5,10,train,27.8,81.8,0.1274,1.0,268.9,241.09999999999997,54.0
2012-10-31,10,1,train,23.7,117.5,0.1214,1.0,283.8,260.1,93.8
2012-10-31,10,5,train,22.7,92.7,0.14504,1.0,213.2,190.5,70.0
2012-10-31,10,10,train,24.4,93.9,0.18302,1.0,178.3,153.9,69.5
2012-11-30,1,1,train,122.1,274.3,0.13841,1.0,727.8,605.6999999999999,152.20000000000002
2012-11-30,1,5,train,51.3,145.3,0.15101,1.0,581.1,529.8000000000001,94.00000000000001
2012-11-30,1,10,train,37.1,62.3,0.09815,1.0,513.7,476.6,25.199999999999996
2012-11-30,5,1,train,39.8,190.1,0.1419,1.0,455.3,415.5,150.3
2012-11-30,5,5,train,30.3,107.9,0.12419,1.0,354.4,324.09999999999997,77.60000000000001
2012-11-30,5,10,train,27.5,80.7,0.1274,1.0,277.1,249.60000000000002,53.2
2012-11-30,10,1,train,23.7,122.6,0.1214,1.0,297.3,273.6,98.89999999999999
2012-11-30,10,5,train,22.6,94.0,0.14504,1.0,221.1,198.5,71.4
2012-11-30,10,10,train,24.0,94.1,0.18302,1.0,173.7,149.7,70.1
2012-12-31,1,1,train,130.3,279.5,0.13841,1.0,727.6,597.3,149.2
2012-12-31,1,5,train,56.6,146.0,0.15101,1.0,603.8,547.1999999999999,89.4
2012-12-31,1,10,train,37.7,63.4,0.09815,1.0,522.5,484.8,25.699999999999996
2012-12-31,5,1,train,42.9,179.1,0.1419,1.0,441.5,398.6,136.2
2012-12-31,5,5,train,31.3,106.9,0.12419,1.0,343.8,312.5,75.60000000000001
2012-12-31,5,10,train,27.9,86.7,0.1274,1.0,294.3,266.40000000000003,58.800000000000004
2012-12-31,10,1,train,24.2,117.0,0.1214,1.0,287.4,263.2,92.8
2012-12-31,10,5,train,23.1,97.3,0.14504,1.0,218.0,194.9,74.19999999999999
2012-12-31,10,10,train,24.3,95.7,0.18302,1.0,185.4,161.1,71.4
2013-01-31,1,1,train,72.4,295.8,0.13841,1.0,722.5,650.1,223.4
2013-01-31,1,5,train,44.9,118.7,0.15101,1.0,515.2,470.30000000000007,73.80000000000001
2013-01-31,1,10,train,32.1,57.6,0.09815,1.0,518.8,486.69999999999993,25.5
2013-01-31,5,1,train,37.2,188.9,0.1419,1.0,447.5,410.3,151.7
2013-01-31,5,5,train,28.1,99.3,0.12419,1.0,342.3,314.2,71.19999999999999
2013-01-31,5,10,train,25.7,76.3,0.1274,1.0,277.7,252.0,50.599999999999994
2013-01-31,10,1,train,23.1,131.9,0.1214,1.0,287.6,264.5,108.80000000000001
2013-01-31,10,5,train,22.2,83.0,0.14504,1.0,219.2,197.0,60.8
