as_of_date,ccy,z1,z2,z3
2014-07-31,CAD,0.03742366270104958,-0.022990917002435284,-0.03403060279213834
2014-08-29,CAD,0.03612580540018836,-0.021482854345456492,-0.03368079187611642
2014-09-30,CAD,0.0366767536681489,-0.02124068226322474,-0.03344823993480537
2014-10-31,CAD,0.035516421804133336,-0.020040293755332294,-0.03336509762442535
2014-11-28,CAD,0.03375300859223838,-0.017942918138873526,-0.03341440040871561
2014-12-31,CAD,0.03266855219179009,-0.016001520781477183,-0.033610388096602106
2015-01-30,CAD,0.027000111747547753,-0.016255660900761637,-0.03428495310689168
2015-02-27,CAD,0.02792211086133993,-0.01666034127940045,-0.034627756788695806
2015-03-31,CAD,0.028737296690906078,-0.017462666404354704,-0.0349049728375005
2015-04-30,CAD,0.03089766401133369,-0.018318430828390176,-0.03504834586322309
2015-05-29,CAD,0.031531186414569805,-0.020132890060836618,-0.03530716877579722
2015-06-30,CAD,0.032641547516007834,-0.022339219883397328,-0.035470533354668536
2015-07-31,CAD,0.031032118233669984,-0.02298346201945128,-0.03540562994247488
2015-08-31,CAD,0.030873558814931062,-0.022795157162183843,-0.03509150047195525
2015-09-30,CAD,0.0298666237824728,-0.021044792891625922,-0.03457615020035272
2015-10-30,CAD,0.030067599809080487,-0.020300518215764514,-0.03406039281286049
2015-11-30,CAD,0.02960275385083669,-0.019532917156031487,-0.03349050273028163
2015-12-31,CAD,0.02910679793755906,-0.01904933857093848,-0.03288330422273426
2016-01-29,CAD,0.026020901704265298,-0.016815543593113894,-0.03211990374552838
2016-02-29,CAD,0.023530502251060324,-0.013268734660163326,-0.03114435005460579
2016-03-31,CAD,0.02410794682665835,-0.012567985275244298,-0.030294153484997977
2016-04-29,CAD,0.025537503722800926,-0.012119874771964502,-0.029347564026680824
2016-05-31,CAD,0.02384898826184144,-0.010799945985605821,-0.02841288142335603
2016-06-30,CAD,0.02090453839555785,-0.008814247646057947,-0.027487030448995916
2016-07-29,CAD,0.02000122079593027,-0.007190864159517596,-0.026553388551070013
2016-08-31,CAD,0.01949079209856002,-0.00662804700736287,-0.025766218704714097
2016-09-30,CAD,0.0197837977085074,-0.007908419895812037,-0.025210168292283508
2016-10-31,CAD,0.0220116151503314,-0.010931875257899338,-0.024725783977186753
2016-11-30,CAD,0.025656714977252786,-0.014346864570674574,-0.02409637193011183
2016-12-30,CAD,0.027259842865842022,-0.01617907253051783,-0.02334783205206188
2017-01-31,CAD,0.027861376883366512,-0.01725635856999263,-0.022559065923167376
2017-02-28,CAD,0.02701010715607143,-0.016965373037090423,-0.021625930635935153
2017-03-31,CAD,0.026974929590804688,-0.01683773311971565,-0.020615319710924184
2017-04-28,CAD,0.025771086439833096,-0.01624214798185158,-0.019546785193039998
2017-05-31,CAD,0.025035237527077408,-0.015812626115763864,-0.01834661625064389
2017-06-30,CAD,0.027553647594784396,-0.0146754251915866,-0.016886850011070993
2017-07-31,CAD,0.029124832990075733,-0.014016477536346954,-0.01561214103178738
2017-08-31,CAD,0.0274900242294411,-0.01264566473272015,-0.014442878975957495
2017-09-29,CAD,0.02895946847095007,-0.011580543544278822,-0.013220735914679316
2017-10-31,CAD,0.027838871515272742,-0.011511313594212796,-0.012251617438284915
2017-11-30,CAD,0.027066936568850966,-0.010605597562071169,-0.01123840130071484
2017-12-29,CAD,0.027998379272344654,-0.009003502924167732,-0.01021715186895228
2018-07-31,CAD,0.030071017826013294,-0.0066767918089431135,-0.009553792126027317
2018-08-31,CAD,0.02935886503488707,-0.005562728183785917,-0.00943434594364926
2018-09-28,CAD,0.030841386648449317,-0.005260733023321934,-0.00953705952587189
2018-10-31,CAD,0.0318099596990413,-0.004681066490509619,-0.009919234200068412
2018-11-30,CAD,0.030389346800660726,-0.004562929034563977,-0.010662000995124432
2018-12-31,CAD,0.028143375363043562,-0.004638166756180203,-0.011530156129633562
2019-01-31,CAD,0.027592147048438126,-0.004543045453255715,-0.012233943021905327
2019-02-28,CAD,0.027664568091904443,-0.004545821757720593,-0.012878957422463443
2019-03-29,CAD,0.02486005181928263,-0.0039876376162555245,-0.013567655690910148
2019-04-30,CAD,0.02531911883931083,-0.003978051487538752,-0.014053132559778931
2019-05-31,CAD,0.0232390874878204,-0.002776519617878875,-0.014385423539934128
2019-06-28,CAD,0.022059418369321872,-0.0010676621599161116,-0.014496148620579045
2019-07-31,CAD,0.021879236890295993,0.0002697883780290219,-0.014550446719748544
2019-08-30,CAD,0.01898823751940319,0.0016081930364046648,-0.01469690570736967
2019-09-30,CAD,0.020281002235853503,0.0024927041991850436,-0.014733704772449044
2019-10-31,CAD,0.021184478259054326,0.0012636737571857946,-0.015041508088518285
2019-11-29,CAD,0.021988492570281692,0.000723288612210803,-0.015356211303705576
2019-12-31,CAD,0.024281350050376474,-4.186322777809896e-06,-0.01575825040947696
2020-01-31,CAD,0.020902051173687236,7.412072551155741e-05,-0.016472819500790704
2020-02-28,CAD,0.01922436095412265,-0.001529628566311139,-0.01722093458725897
2020-03-31,CAD,0.016075085857726164,-0.005563421248723926,-0.018074300140997503
2020-04-30,CAD,0.01564968040242842,-0.00747981225947258,-0.018569517885807116
2020-05-29,CAD,0.015753958860988963,-0.008294861614637878,-0.018868258434407155
2020-06-30,CAD,0.01591740209867257,-0.008435521241896263,-0.019086260952937962
2020-07-31,CAD,0.01544347444181546,-0.008574771981916503,-0.019341565422779646
2020-08-31,CAD,0.01696147238318808,-0.01005466229658329,-0.019630441555662913
