date,expiry,tenor,split,sigma_mkt,sigma_drift
2014-06-30,10,10,train,24.1,0.0
2014-07-31,1,1,train,79.6,0.1
2014-07-31,1,5,train,50.2,0.0
2014-07-31,1,10,train,35.1,0.0
2014-07-31,5,1,train,51.3,0.0
2014-07-31,5,5,train,34.9,2.7
2014-07-31,5,10,train,29.8,0.0
2014-07-31,10,1,train,29.1,0.0
2014-07-31,10,5,train,26.7,0.1
2014-07-31,10,10,train,26.4,0.0
2014-08-29,1,1,train,120.7,0.0
2014-08-29,1,5,train,59.1,0.0
2014-08-29,1,10,train,43.5,0.0
2014-08-29,5,1,train,68.7,0.0
2014-08-29,5,5,train,43.1,10.7
2014-08-29,5,10,train,36.5,0.2
2014-08-29,10,1,train,36.3,0.0
2014-08-29,10,5,train,32.4,0.6
2014-08-29,10,10,train,32.1,0.0
2014-09-30,1,1,train,195.2,0.0
2014-09-30,1,5,train,56.5,0.0
2014-09-30,1,10,train,38.3,0.0
2014-09-30,5,1,train,57.0,0.0
2014-09-30,5,5,train,37.2,12.3
2014-09-30,5,10,train,31.2,0.1
2014-09-30,10,1,train,31.4,0.0
2014-09-30,10,5,train,28.2,0.5
2014-09-30,10,10,train,27.3,0.0
2014-10-31,1,1,train,162.3,0.0
2014-10-31,1,5,train,54.9,0.0
2014-10-31,1,10,train,40.5,0.0
2014-10-31,5,1,train,61.8,0.0
2014-10-31,5,5,train,38.9,13.7
2014-10-31,5,10,train,32.6,0.3
2014-10-31,10,1,train,32.3,0.0
2014-10-31,10,5,train,29.4,0.7
2014-10-31,10,10,train,28.4,0.0
2014-11-28,1,1,train,187.8,0.0
2014-11-28,1,5,train,66.8,0.1
2014-11-28,1,10,train,47.1,0.0
2014-11-28,5,1,train,79.1,0.0
2014-11-28,5,5,train,43.5,18.0
2014-11-28,5,10,train,35.8,1.7
2014-11-28,10,1,train,35.7,0.0
2014-11-28,10,5,train,32.2,1.0
2014-11-28,10,10,train,31.4,0.0
2014-12-31,1,1,train,343.0,0.0
2014-12-31,1,5,train,75.1,0.3
2014-12-31,1,10,train,57.8,0.1
2014-12-31,5,1,train,89.0,0.0
2014-12-31,5,5,train,49.8,20.6
2014-12-31,5,10,train,43.0,3.7
2014-12-31,10,1,train,42.3,0.0
2014-12-31,10,5,train,38.3,1.2
2014-12-31,10,10,train,37.4,0.1
2015-01-30,1,1,train,0.0,0.0
2015-01-30,1,5,train,83.6,1.4
2015-01-30,1,10,train,67.1,2.2
2015-01-30,5,1,train,101.2,0.0
2015-01-30,5,5,train,60.9,25.3
2015-01-30,5,10,train,53.2,10.2
2015-01-30,10,1,train,55.9,0.0
2015-01-30,10,5,train,49.8,1.8
2015-01-30,10,10,train,48.1,0.2
2015-02-27,1,1,train,0.0,0.0
2015-02-27,1,5,train,91.8,2.4
2015-02-27,1,10,train,70.7,2.0
2015-02-27,5,1,train,101.0,0.0
2015-02-27,5,5,train,58.8,26.8
2015-02-27,5,10,train,51.5,9.0
2015-02-27,10,1,train,54.0,0.1
2015-02-27,10,5,train,50.1,2.0
2015-02-27,10,10,train,46.9,0.1
2015-03-31,1,1,train,0.0,0.0
2015-03-31,1,5,train,104.8,8.4
2015-03-31,1,10,train,89.0,18.7
2015-03-31,5,1,train,143.8,0.2
2015-03-31,5,5,train,82.6,30.3
2015-03-31,5,10,train,82.3,17.9
2015-03-31,10,1,train,103.7,0.7
2015-03-31,10,5,train,90.9,2.7
2015-03-31,10,10,train,95.4,0.5
2015-04-30,1,1,train,0.0,0.0
2015-04-30,1,5,train,93.8,3.9
2015-04-30,1,10,train,73.0,6.0
2015-04-30,5,1,train,103.5,0.1
2015-04-30,5,5,train,66.7,26.8
2015-04-30,5,10,train,62.9,11.9
2015-04-30,10,1,train,66.3,0.6
2015-04-30,10,5,train,61.0,1.7
2015-04-30,10,10,train,60.8,0.3
2015-05-29,1,1,train,0.0,0.0
2015-05-29,1,5,train,83.5,0.6
2015-05-29,1,10,train,64.8,0.2
2015-05-29,5,1,train,81.2,0.1
2015-05-29,5,5,train,52.9,20.5
2015-05-29,5,10,train,50.5,4.5
2015-05-29,10,1,train,48.4,0.8
2015-05-29,10,5,train,44.8,1.2
2015-05-29,10,10,train,47.0,0.0
2015-06-30,1,1,train,0.0,0.0
2015-06-30,1,5,train,66.7,0.0
2015-06-30,1,10,train,54.2,0.0
2015-06-30,5,1,train,55.6,0.1
2015-06-30,5,5,train,40.4,10.3
2015-06-30,5,10,train,37.6,0.1
2015-06-30,10,1,train,35.0,1.0
2015-06-30,10,5,train,33.1,0.4
2015-06-30,10,10,train,33.4,0.0
2015-07-31,1,1,train,0.0,0.0
2015-07-31,1,5,train,76.4,0.1
2015-07-31,1,10,train,57.7,0.0
2015-07-31,5,1,train,68.9,0.2
2015-07-31,5,5,train,46.0,16.6
2015-07-31,5,10,train,41.7,1.3
2015-07-31,10,1,train,39.6,1.6
2015-07-31,10,5,train,37.3,0.8
2015-07-31,10,10,train,38.2,0.0
2015-08-31,1,1,train,0.0,0.0
2015-08-31,1,5,train,70.2,0.0
2015-08-31,1,10,train,57.2,0.0
2015-08-31,5,1,train,64.0,0.2
2015-08-31,5,5,train,43.4,11.4
2015-08-31,5,10,train,39.7,0.1
2015-08-31,10,1,train,37.1,1.7
2015-08-31,10,5,train,35.5,0.5
2015-08-31,10,10,train,36.5,0.0
2015-09-30,1,1,train,0.0,0.0
2015-09-30,1,5,train,85.0,0.2
2015-09-30,1,10,train,60.2,0.0
2015-09-30,5,1,train,74.0,0.9
2015-09-30,5,5,train,46.6,19.6
2015-09-30,5,10,train,41.3,1.3
2015-09-30,10,1,train,38.4,3.4
2015-09-30,10,5,train,36.1,1.0
2015-09-30,10,10,train,36.7,0.0
2015-10-30,1,1,train,0.0,0.0
2015-10-30,1,5,train,91.0,0.8
2015-10-30,1,10,train,58.1,0.0
2015-10-30,5,1,train,75.7,3.3
2015-10-30,5,5,train,46.4,23.8
2015-10-30,5,10,train,41.2,2.1
2015-10-30,10,1,train,39.5,7.5
2015-10-30,10,5,train,36.7,1.5
2015-10-30,10,10,train,36.5,0.0
2015-11-30,1,1,train,0.0,0.0
2015-11-30,1,5,train,128.5,2.9
2015-11-30,1,10,train,61.8,0.1
2015-11-30,5,1,train,83.9,11.5
2015-11-30,5,5,train,48.0,28.3
2015-11-30,5,10,train,42.4,2.7
2015-11-30,10,1,train,37.5,14.3
2015-11-30,10,5,train,35.5,2.3
2015-11-30,10,10,train,36.1,0.0
2015-12-31,1,1,train,0.0,0.0
2015-12-31,1,5,train,79.5,0.3
2015-12-31,1,10,train,52.2,0.0
2015-12-31,5,1,train,65.0,4.7
2015-12-31,5,5,train,42.6,19.7
2015-12-31,5,10,train,38.4,0.7
2015-12-31,10,1,train,34.4,9.6
2015-12-31,10,5,train,32.9,1.1
2015-12-31,10,10,train,33.9,0.0
2016-01-29,1,1,train,0.0,0.0
2016-01-29,1,5,train,211.6,10.9
2016-01-29,1,10,train,77.7,2.3
2016-01-29,5,1,train,126.7,18.5
2016-01-29,5,5,train,58.5,34.2
2016-01-29,5,10,train,50.4,6.8
2016-01-29,10,1,train,44.6,17.3
2016-01-29,10,5,train,42.1,3.4
2016-01-29,10,10,train,43.2,0.1
2016-02-29,1,1,train,0.0,0.0
2016-02-29,1,5,train,0.0,30.9
2016-02-29,1,10,train,108.7,17.7
2016-02-29,5,1,train,0.0,24.3
2016-02-29,5,5,train,78.1,40.7
2016-02-29,5,10,train,64.3,13.7
2016-02-29,10,1,train,58.1,18.7
2016-02-29,10,5,train,55.3,5.4
2016-02-29,10,10,train,58.1,0.3
2016-03-31,1,1,train,0.0,0.0
2016-03-31,1,5,train,391.6,23.0
2016-03-31,1,10,train,91.2,12.9
2016-03-31,5,1,train,0.0,16.3
2016-03-31,5,5,train,70.2,37.7
2016-03-31,5,10,train,58.5,12.6
2016-03-31,10,1,train,53.0,14.8
2016-03-31,10,5,train,50.3,4.4
2016-03-31,10,10,train,53.3,0.2
2016-04-29,1,1,train,0.0,0.0
2016-04-29,1,5,train,205.5,10.6
2016-04-29,1,10,train,75.7,2.7
2016-04-29,5,1,train,149.4,15.3
2016-04-29,5,5,train,57.8,34.0
2016-04-29,5,10,train,49.6,6.9
2016-04-29,10,1,train,44.2,15.4
2016-04-29,10,5,train,41.6,3.5
2016-04-29,10,10,train,43.0,0.1
2016-05-31,1,1,train,0.0,0.0
2016-05-31,1,5,train,0.0,21.0
2016-05-31,1,10,train,86.4,9.2
2016-05-31,5,1,train,0.0,18.4
2016-05-31,5,5,train,66.7,37.8
2016-05-31,5,10,train,54.1,11.5
2016-05-31,10,1,train,48.6,16.2
2016-05-31,10,5,train,45.3,4.3
2016-05-31,10,10,train,46.3,0.2
2016-06-30,1,1,train,0.0,0.0
